raw_row_number,company_name_raw,stand_no,sector,products,country,website_text,website_url,company_column,details
208,Vifra Srl,4-478,"Agriculture Technologies, Aquaculture","Greenhouses Solutions, Vertical Farming, Aquaculture Systems & Technologies",Italy,www.vifraitaly.com,http://www.vifraitaly.com,Vifra Srl,"Vifra S.r.l., headquartered in Aprilia (Italy), is a specialized manufacturer of advanced climate control and water treatment solutions. The company designs and produces high-pressure fog systems, dehumidification systems, as well as reverse osmosis and ultrafiltration technologies, entirely within its own Italian facility. With a strong commitment to quality and innovation, Vifra delivers fully “Made in Italy” systems that ensure efficiency, reliability, and long service life. Their tailor-made approach allows them to provide customized solutions for sectors such as agriculture, industry, and environmental management, optimizing humidity regulation, water purity, and overall process performance. From design and engineering to production, installation, and after-sales support, Vifra offers a complete service cycle, guaranteeing technical excellence and customer satisfaction."
209,VitaFer sp. z o.o.,1-288,,,,,,VitaFer sp. z o.o.,
210,Wadi Al Safwa Agricultural Establishment,5-350,Crop Farming,Fertilizers & Pesticides,Saudi Arabia,www.alsafoah.com,http://www.alsafoah.com,Wadi Al Safwa Agricultural Establishment,"Wadi Al Safwa Agricultural Company started as a sole proprietorship in 2011, then its activity developed and expanded since 2018 to become an importing institution for agricultural pesticides and fertilizers, as it worked hard with an elite group of engineers and cadres of marketing specialists."
211,Wafra Greentech Company,1-430,,,Saudi Arabia,,,,
212,Wareed Alhayat For Trading Est.,4-393,Agriculture Technologies,Irrigation Solutions,Saudi Arabia,,,Wareed Alhayat For Trading Est.,
213,Webba Kimya A.Ş,3-260,,,Turkiye,webbakimya.com,http://webbakimya.com/,Webba Kimya A.Ş,
214,"Wecan Global Co., Ltd.",1-193,,,South Korea,,,,
215,"Weifang Kangmagnesium Biotechnology Co., Ltd",1-294,,,China,,,"Weifang Kangmagnesium Biotechnology Co., Ltd",
216,Weqaa Center (National Center for the Prevention and Control of Plants and Animal Diseases) - Oud Events,2-169,Official Agency,Government Institution,Saudi Arabia,istitlaa.ncc.gov.sa,http://istitlaa.ncc.gov.sa,Weqaa Center (National Center for the Prevention and Control of Plants and Animal Diseases) - Oud Events,
217,Wusen,1-386,,,China,www.wusncn.com,http://www.wusncn.com/,Wusen,
218,XAG,1-371,,,China,www.xa.com,http://www.xa.com/,XAG,"Founded in 2007, XAG is a world-leading agricultural robotics company, which develops and promotes innovative solutions to make farming more efficient, sustainable, and rewarding for those who feed the world. In response to global challenges such as labor shortages, climate change, and rising environmental concerns, XAG is building an autonomous agricultural ecosystem that maximizes efficiency while minimizing costs and risks for users."
219,Yildizlar Otomotiv Boru Bağlanti Parçalari San,5-241,,,Turkiye,,,Yildizlar Otomotiv Boru Bağlanti Parçalari San,
220,"Yuyao Xintuo Irrigation Equipment Co., Ltd.",1-387,,,China,,,"Yuyao Xintuo Irrigation Equipment Co., Ltd.",
221,"Zhongshan Jiadi Technological Co., Ltd.",5-234,,,China,,,"Zhongshan Jiadi Technological Co., Ltd.","Zhongshan Jiadi Technology Co., Ltd specializes in hydroponic and aeroponic systems for agricultural and indoor farming applications. They offer a wide range of products, including vertical farming solutions like Pineapple Towers, Dutch Buckets, Vertical Wall Systems, NFT Channels, and Petal Towers. With a focus on efficient and sustainable cultivation methods, their products are designed for commercial, home, and greenhouse use. The company exports globally and provides customizable hydroponic systems to meet diverse farming needs."
222,Zorel,3-293,,,Turkiye,,,Zorel,
